Invoice_ID,Entity,Type,Business_Unit,Amount_FCY,Currency,FX_Rate,Amount_USD,Functional_Currency,Transaction_Date,Due_Date,GL_Code
BEEC9343,FR SAS,AP,R&D,11985.17,GBP,1.3015,15598.7,USD,2025-05-11,2025-07-25,4842
3C35DD2E,AU Pty,AR,Sales,17141.83,CAD,0.7563,12964.37,USD,2025-05-15,2025-08-07,4530
D781096E,AU Pty,AR,IT,13631.26,CAD,0.7598,10357.03,USD,2025-05-13,2025-08-03,4654
4BFED49D,UK PLC,AP,IT,36949.02,AUD,0.6669,24641.3,USD,2025-06-25,2025-07-11,4416
E99AA9DE,US Inc,AP,Finance,76983.07,CAD,0.7632,58753.48,USD,2025-05-17,2025-07-12,4430
CCC512F6,CA Corp,AR,R&D,4460.33,AUD,0.7222,3221.25,USD,2025-06-22,2025-08-26,4805
1937EA91,AU Pty,AR,HR,52345.07,GBP,1.3426,70278.49,USD,2025-06-03,2025-08-24,4770
ED1A181C,CA Corp,Intercompany,Manufacturing,10892.96,USD,1.0,10892.96,USD,2025-05-30,2025-07-06,4484
DE3B0B62,AU Pty,Intercompany,Sales,59038.38,AUD,0.6967,41132.04,USD,2025-05-07,2025-07-25,4561
E2BF03D1,DE GmbH,Intercompany,Logistics,10458.9,EUR,1.0788,11283.06,USD,2025-05-07,2025-06-12,4312
1DCFDBDE,US Inc,Intercompany,Manufacturing,45877.31,USD,1.0,45877.31,USD,2025-05-06,2025-06-02,4697
990BDAED,AU Pty,AR,IT,8416.76,USD,1.0,8416.76,USD,2025-06-29,2025-07-25,4568
313DA969,JP Ltd,AR,HR,150022.4,CNY,0.1488,22323.33,USD,2025-06-18,2025-08-24,4701
32A30661,UK PLC,Intercompany,R&D,2390.96,AUD,0.7405,1770.51,USD,2025-06-16,2025-07-06,4364
3D4E86E5,CA Corp,AR,R&D,4990.37,AUD,0.7213,3599.55,USD,2025-06-20,2025-08-30,4493
58F0B1D8,JP Ltd,Intercompany,HR,26815.79,CHF,1.1153,29907.65,USD,2025-05-06,2025-07-14,4030
6490DACE,AU Pty,AP,IT,42656.4,AUD,0.7218,30789.39,USD,2025-05-06,2025-07-15,4523
EFBA8FD6,DE GmbH,AR,HR,13871.54,GBP,1.2612,17494.79,USD,2025-06-02,2025-07-01,4638
91F32EF7,DE GmbH,Intercompany,R&D,4898.72,JPY,0.0071,34.78,USD,2025-06-01,2025-07-06,4459
D81B1177,AU Pty,Intercompany,Finance,10847.96,CAD,0.7564,8205.4,USD,2025-05-19,2025-07-09,4013
9CC234FE,JP Ltd,AR,IT,84008.32,GBP,1.2884,108236.32,USD,2025-06-02,2025-07-21,4083
2CB008CC,CA Corp,AP,IT,21606.64,CAD,0.8057,17408.47,USD,2025-06-23,2025-07-26,4905
3922ED02,CA Corp,AR,IT,150316.66,USD,1.0,150316.66,USD,2025-05-31,2025-08-19,4256
86E068E4,US Inc,AR,Sales,27435.91,CAD,0.7877,21611.27,USD,2025-05-25,2025-07-31,4963
91ECABDE,JP Ltd,AP,HR,25201.2,CNY,0.1489,3752.46,USD,2025-06-18,2025-09-11,4362
321498B0,JP Ltd,AR,Sales,36786.8,USD,1.0,36786.8,USD,2025-06-02,2025-08-30,4856
91A9C8A1,DE GmbH,AR,R&D,53339.85,CNY,0.1428,7616.93,USD,2025-06-19,2025-07-11,4807
66BADAC7,UK PLC,Intercompany,Sales,95243.21,CAD,0.7485,71289.54,USD,2025-06-30,2025-08-13,4830
514B9715,JP Ltd,AR,Finance,6346.98,CNY,0.1363,865.09,USD,2025-05-13,2025-08-09,4044
1D7653AC,CA Corp,AR,Logistics,40703.86,AUD,0.6598,26856.41,USD,2025-05-12,2025-07-21,4062
890F8460,UK PLC,AP,HR,69898.08,CAD,0.733,51235.29,USD,2025-05-22,2025-08-11,4611
A0EC65CC,CA Corp,AP,Finance,10056.95,CNY,0.1525,1533.68,USD,2025-06-21,2025-08-04,4663
1301116C,JP Ltd,AP,IT,45587.04,CNY,0.1538,7011.29,USD,2025-06-03,2025-07-31,4889
C2835E5E,DE GmbH,AR,HR,21149.91,JPY,0.0068,143.82,USD,2025-05-04,2025-05-20,4761
18192D55,CA Corp,AR,IT,22762.68,JPY,0.0068,154.79,USD,2025-06-04,2025-08-25,4696
3BD393A1,AU Pty,Intercompany,Sales,8805.71,GBP,1.3149,11578.63,USD,2025-05-11,2025-06-28,4409
2BE12DEC,AU Pty,Intercompany,Sales,29214.84,AUD,0.6941,20278.02,USD,2025-05-06,2025-07-19,4232
5055F7A4,US Inc,Intercompany,HR,6159.5,USD,1.0,6159.5,USD,2025-06-23,2025-07-26,4221
8883266C,UK PLC,AP,HR,13304.63,CAD,0.7339,9764.27,USD,2025-05-19,2025-06-25,4436
DA5E3CB2,DE GmbH,Intercompany,IT,2614.09,CHF,1.0513,2748.19,USD,2025-05-23,2025-07-19,4549
B1D020AA,JP Ltd,Intercompany,Finance,13389.23,USD,1.0,13389.23,USD,2025-05-16,2025-07-26,4834
E8105CAB,UK PLC,AR,Sales,7691.02,EUR,1.1356,8733.92,USD,2025-06-11,2025-08-14,4008
A9C34494,US Inc,AP,R&D,27085.72,CAD,0.794,21506.06,USD,2025-05-07,2025-07-22,4884
0BD33C83,DE GmbH,Intercompany,R&D,22595.92,JPY,0.0069,155.91,USD,2025-06-17,2025-09-10,4602
5CAF9D8F,UK PLC,AP,Manufacturing,48191.05,AUD,0.7362,35478.25,USD,2025-05-21,2025-07-16,4398
AA1F0269,AU Pty,AP,Sales,13355.83,AUD,0.7433,9927.39,USD,2025-05-06,2025-06-10,4786
F749DB66,DE GmbH,AP,Sales,18206.18,EUR,1.0573,19249.39,USD,2025-06-05,2025-07-31,4178
D4B60493,US Inc,AP,HR,3100.34,EUR,1.0502,3255.98,USD,2025-06-17,2025-07-22,4911
A0458FA9,DE GmbH,Intercompany,IT,49842.5,CAD,0.8197,40855.9,USD,2025-05-28,2025-07-04,4856
EDE58C9B,US Inc,AR,HR,9848.73,CNY,0.1382,1361.09,USD,2025-06-13,2025-08-05,4207
275501BD,JP Ltd,AP,Sales,10196.87,CHF,1.0984,11200.24,USD,2025-06-13,2025-08-26,4680
DC09DA55,FR SAS,Intercompany,Manufacturing,19894.21,JPY,0.0065,129.31,USD,2025-06-19,2025-09-11,4270
EC282ECD,US Inc,AR,HR,56231.09,CNY,0.1434,8063.54,USD,2025-06-30,2025-07-22,4208
94A7D593,FR SAS,Intercompany,Sales,7424.6,AUD,0.7409,5500.89,USD,2025-06-07,2025-09-05,4902
