Invoice_ID,Entity,Type,Business_Unit,Amount_FCY,Currency,FX_Rate,Amount_USD,Functional_Currency,Transaction_Date,Due_Date,GL_Code,Days_To_Due,Log_Amount_USD,anomaly_score,is_anomaly
BEEC9343,FR SAS,AP,R&D,11985.17,GBP,1.3015,15598.7,USD,2025-05-11,2025-07-25,4842,75,9.655006962283483,-0.009292012439165942,False
3C35DD2E,AU Pty,AR,Sales,17141.83,CAD,0.7563,12964.37,USD,2025-05-15,2025-08-07,4530,84,9.470037235938095,-0.008603443927833798,False
D781096E,AU Pty,AR,IT,13631.26,CAD,0.7598,10357.03,USD,2025-05-13,2025-08-03,4654,82,9.245517343291672,-0.003253217187946411,False
4BFED49D,UK PLC,AP,IT,36949.02,AUD,0.6669,24641.3,USD,2025-06-25,2025-07-11,4416,16,10.112219757447006,-0.007129778749834725,False
E99AA9DE,US Inc,AP,Finance,76983.07,CAD,0.7632,58753.48,USD,2025-05-17,2025-07-12,4430,56,10.981122684418265,-0.011130311361063738,False
CCC512F6,CA Corp,AR,R&D,4460.33,AUD,0.7222,3221.25,USD,2025-06-22,2025-08-26,4805,65,8.077835152284889,-0.00974398704034768,False
1937EA91,AU Pty,AR,HR,52345.07,GBP,1.3426,70278.49,USD,2025-06-03,2025-08-24,4770,82,11.160235285587168,-0.005203885915801509,False
ED1A181C,CA Corp,Intercompany,Manufacturing,10892.96,USD,1.0,10892.96,USD,2025-05-30,2025-07-06,4484,37,9.295963786190963,-0.012508286803967927,False
DE3B0B62,AU Pty,Intercompany,Sales,59038.38,AUD,0.6967,41132.04,USD,2025-05-07,2025-07-25,4561,79,10.624566970479497,-0.0059426741777671155,False
E2BF03D1,DE GmbH,Intercompany,Logistics,10458.9,EUR,1.0788,11283.06,USD,2025-05-07,2025-06-12,4312,36,9.331146389371131,-0.01285848481928814,False
1DCFDBDE,US Inc,Intercompany,Manufacturing,45877.31,USD,1.0,45877.31,USD,2025-05-06,2025-06-02,4697,27,10.733747735342554,-0.008643273969137388,False
990BDAED,AU Pty,AR,IT,8416.76,USD,1.0,8416.76,USD,2025-06-29,2025-07-25,4568,26,9.038099038589092,-0.010892336807122704,False
313DA969,JP Ltd,AR,HR,150022.4,CNY,0.1488,22323.33,USD,2025-06-18,2025-08-24,4701,67,10.013432394096146,-0.004145034726380614,False
32A30661,UK PLC,Intercompany,R&D,2390.96,AUD,0.7405,1770.51,USD,2025-06-16,2025-07-06,4364,20,7.479587569223266,-0.0066089393954903985,False
3D4E86E5,CA Corp,AR,R&D,4990.37,AUD,0.7213,3599.55,USD,2025-06-20,2025-08-30,4493,71,8.188841890552643,-0.009699498570780118,False
58F0B1D8,JP Ltd,Intercompany,HR,26815.79,CHF,1.1153,29907.65,USD,2025-05-06,2025-07-14,4030,69,10.305903015199142,-0.0063004953233051775,False
6490DACE,AU Pty,AP,IT,42656.4,AUD,0.7218,30789.39,USD,2025-05-06,2025-07-15,4523,70,10.334957907288473,-0.00950892250004498,False
EFBA8FD6,DE GmbH,AR,HR,13871.54,GBP,1.2612,17494.79,USD,2025-06-02,2025-07-01,4638,29,9.769715559541087,-0.005955650712630767,False
91F32EF7,DE GmbH,Intercompany,R&D,4898.72,JPY,0.0071,34.78,USD,2025-06-01,2025-07-06,4459,35,3.5773890780805733,-0.0033682325111524247,False
D81B1177,AU Pty,Intercompany,Finance,10847.96,CAD,0.7564,8205.4,USD,2025-05-19,2025-07-09,4013,51,9.012669616635003,-0.008524437421671194,False
9CC234FE,JP Ltd,AR,IT,84008.32,GBP,1.2884,108236.32,USD,2025-06-02,2025-07-21,4083,49,11.592081502745089,-0.0037812298911078512,False
2CB008CC,CA Corp,AP,IT,21606.64,CAD,0.8057,17408.47,USD,2025-06-23,2025-07-26,4905,33,9.764769590024304,-0.00940355761938566,False
3922ED02,CA Corp,AR,IT,150316.66,USD,1.0,150316.66,USD,2025-05-31,2025-08-19,4256,80,11.920506067175337,-0.009430707924692194,False
86E068E4,US Inc,AR,Sales,27435.91,CAD,0.7877,21611.27,USD,2025-05-25,2025-07-31,4963,67,9.98101648794533,-0.008025997103133953,False
91ECABDE,JP Ltd,AP,HR,25201.2,CNY,0.1489,3752.46,USD,2025-06-18,2025-09-11,4362,85,8.23043336023588,-0.004659189645100148,False
321498B0,JP Ltd,AR,Sales,36786.8,USD,1.0,36786.8,USD,2025-06-02,2025-08-30,4856,89,10.512921547452411,-0.009777206987447329,False
91A9C8A1,DE GmbH,AR,R&D,53339.85,CNY,0.1428,7616.93,USD,2025-06-19,2025-07-11,4807,22,8.938259958232878,-0.00719732772340409,False
66BADAC7,UK PLC,Intercompany,Sales,95243.21,CAD,0.7485,71289.54,USD,2025-06-30,2025-08-13,4830,44,11.174518918777894,-0.006495160371843001,False
514B9715,JP Ltd,AR,Finance,6346.98,CNY,0.1363,865.09,USD,2025-05-13,2025-08-09,4044,88,6.76398882925949,-0.005199642007071625,False
1D7653AC,CA Corp,AR,Logistics,40703.86,AUD,0.6598,26856.41,USD,2025-05-12,2025-07-21,4062,70,10.198297039515815,-0.010822817316823552,False
890F8460,UK PLC,AP,HR,69898.08,CAD,0.733,51235.29,USD,2025-05-22,2025-08-11,4611,81,10.844203349017763,-0.004629954803994918,False
A0EC65CC,CA Corp,AP,Finance,10056.95,CNY,0.1525,1533.68,USD,2025-06-21,2025-08-04,4663,44,7.336077169233229,-0.009901004293534466,False
1301116C,JP Ltd,AP,IT,45587.04,CNY,0.1538,7011.29,USD,2025-06-03,2025-07-31,4889,58,8.85541960285848,-0.005539856726513359,False
C2835E5E,DE GmbH,AR,HR,21149.91,JPY,0.0068,143.82,USD,2025-05-04,2025-05-20,4761,16,4.975491591960675,-0.002550254945139774,False
18192D55,CA Corp,AR,IT,22762.68,JPY,0.0068,154.79,USD,2025-06-04,2025-08-25,4696,82,5.048508946524337,-0.004213707487553897,False
3BD393A1,AU Pty,Intercompany,Sales,8805.71,GBP,1.3149,11578.63,USD,2025-05-11,2025-06-28,4409,48,9.357002798975762,-0.00924204021580316,False
2BE12DEC,AU Pty,Intercompany,Sales,29214.84,AUD,0.6941,20278.02,USD,2025-05-06,2025-07-19,4232,74,9.917342133066102,-0.009963457175178991,False
5055F7A4,US Inc,Intercompany,HR,6159.5,USD,1.0,6159.5,USD,2025-06-23,2025-07-26,4221,33,8.725913222064722,-0.006175820690656086,False
8883266C,UK PLC,AP,HR,13304.63,CAD,0.7339,9764.27,USD,2025-05-19,2025-06-25,4436,37,9.186587492698116,-0.006993331684869708,False
DA5E3CB2,DE GmbH,Intercompany,IT,2614.09,CHF,1.0513,2748.19,USD,2025-05-23,2025-07-19,4549,57,7.919061601819039,-0.009595932495364223,False
B1D020AA,JP Ltd,Intercompany,Finance,13389.23,USD,1.0,13389.23,USD,2025-05-16,2025-07-26,4834,71,9.502280615535454,-0.00896078077920509,False
E8105CAB,UK PLC,AR,Sales,7691.02,EUR,1.1356,8733.92,USD,2025-06-11,2025-08-14,4008,64,9.07508406396869,-0.005967547044154697,False
A9C34494,US Inc,AP,R&D,27085.72,CAD,0.794,21506.06,USD,2025-05-07,2025-07-22,4884,76,9.97613653230646,-0.01013327330131425,False
0BD33C83,DE GmbH,Intercompany,R&D,22595.92,JPY,0.0069,155.91,USD,2025-06-17,2025-09-10,4602,85,5.055672392570977,-0.00660548523501453,False
5CAF9D8F,UK PLC,AP,Manufacturing,48191.05,AUD,0.7362,35478.25,USD,2025-05-21,2025-07-16,4398,56,10.476703297530419,-0.007432723990612844,False
AA1F0269,AU Pty,AP,Sales,13355.83,AUD,0.7433,9927.39,USD,2025-05-06,2025-06-10,4786,35,9.203153608949314,-0.010322495415899802,False
F749DB66,DE GmbH,AP,Sales,18206.18,EUR,1.0573,19249.39,USD,2025-06-05,2025-07-31,4178,56,9.865286599250965,-0.008876322268778047,False
D4B60493,US Inc,AP,HR,3100.34,EUR,1.0502,3255.98,USD,2025-06-17,2025-07-22,4911,35,8.088555664637177,-0.006627872887327302,False
A0458FA9,DE GmbH,Intercompany,IT,49842.5,CAD,0.8197,40855.9,USD,2025-05-28,2025-07-04,4856,37,10.617830996673066,-0.008512995479802554,False
EDE58C9B,US Inc,AR,HR,9848.73,CNY,0.1382,1361.09,USD,2025-06-13,2025-08-05,4207,53,7.2167755638214715,-0.003076292373046463,False
275501BD,JP Ltd,AP,Sales,10196.87,CHF,1.0984,11200.24,USD,2025-06-13,2025-08-26,4680,74,9.323779765440525,-0.008060081459577928,False
DC09DA55,FR SAS,Intercompany,Manufacturing,19894.21,JPY,0.0065,129.31,USD,2025-06-19,2025-09-11,4270,84,4.869916227156815,-0.002324981358015177,False
EC282ECD,US Inc,AR,HR,56231.09,CNY,0.1434,8063.54,USD,2025-06-30,2025-07-22,4208,22,8.995231952354857,-0.0029880129763965035,False
94A7D593,FR SAS,Intercompany,Sales,7424.6,AUD,0.7409,5500.89,USD,2025-06-07,2025-09-05,4902,90,8.612846948554747,-0.006423114145894082,False
C674A45C,US Inc,AR,Manufacturing,5369.76,AUD,0.7082,3802.86,USD,2025-06-05,2025-07-23,4534,48,8.243771619623141,-0.006396014273744366,False
E72ADEED,AU Pty,Intercompany,R&D,44284.66,CAD,0.792,35073.45,USD,2025-05-27,2025-07-14,4260,48,10.46522822416347,-0.012571642390351134,False
5A716129,FR SAS,AR,IT,39841.25,GBP,1.2993,51765.74,USD,2025-06-06,2025-07-02,4473,26,10.854503137080673,-0.006081761502790217,False
1E26B8BD,US Inc,Intercompany,R&D,71842.84,CAD,0.7238,51999.85,USD,2025-05-31,2025-07-15,4627,45,10.859015343583813,-0.007027387775216831,False
81FE0BC9,AU Pty,Intercompany,R&D,128486.77,JPY,0.0075,963.65,USD,2025-05-16,2025-07-27,4045,72,6.871765341248982,-0.006795949302262239,False
FABE1C50,AU Pty,Intercompany,Manufacturing,4695.78,JPY,0.007,32.87,USD,2025-06-09,2025-07-19,4518,40,3.5225296668296804,-0.006423711606370008,False
BB8E96D0,UK PLC,Intercompany,HR,13290.83,JPY,0.0067,89.05,USD,2025-06-29,2025-09-27,4397,90,4.500365071621965,-0.0007632913288854737,False
F63789F0,US Inc,AR,Sales,26025.63,AUD,0.6626,17244.58,USD,2025-05-28,2025-06-28,4103,31,9.75531115774245,-0.005800650678576991,False
097AB8B5,US Inc,AP,HR,14823.2,AUD,0.7046,10444.43,USD,2025-06-03,2025-07-05,4147,32,9.253919841166264,-2.2783334647447084e-05,False
ADF7426C,DE GmbH,AP,HR,14163.42,CHF,1.143,16188.79,USD,2025-06-23,2025-09-17,4229,86,9.692136075617823,-0.008382513706687189,False
A6CB6656,FR SAS,AP,Logistics,9360.95,CNY,0.1355,1268.41,USD,2025-06-24,2025-08-26,4713,63,7.146307504578854,-0.009833385874117417,False
