Invoice_ID,Entity,Type,Business_Unit,Amount_FCY,Currency,FX_Rate,Amount_USD,Functional_Currency,Transaction_Date,Due_Date,GL_Code
FF986ED4,FR SAS,Intercompany,Sales,70619.61,USD,1.0,70619.61,USD,2024-07-04,2024-07-23,4503
F3BA9ED9,US Inc,AP,Sales,33850.95,EUR,1.1022,37310.52,USD,2024-04-04,2024-06-14,4797
19985059,UK PLC,AP,Logistics,7654.2,EUR,1.1014,8430.34,USD,2024-06-17,2024-09-03,4612
1BC857F7,UK PLC,Intercompany,IT,22828.87,JPY,0.0067,152.95,USD,2025-05-13,2025-06-17,4419
C4A1D528,CA Corp,AP,Sales,3670.58,CAD,0.8089,2969.13,USD,2024-05-14,2024-06-23,4404
35FA4AC8,JP Ltd,AR,Finance,5817.98,EUR,1.1272,6558.03,USD,2024-10-28,2025-01-01,4243
00BB2E75,DE GmbH,AR,IT,42113.08,CAD,0.7531,31715.36,USD,2024-01-04,2024-01-19,4015
B39DF452,UK PLC,AP,Finance,10874.5,GBP,1.3155,14305.4,USD,2025-06-11,2025-07-01,4227
05DB5180,DE GmbH,Intercompany,HR,8339.32,CHF,1.0579,8822.17,USD,2024-02-27,2024-03-20,4566
16000F31,US Inc,Intercompany,Finance,29381.33,EUR,1.0718,31490.91,USD,2025-04-24,2025-05-13,4479
2077668D,CA Corp,AP,HR,9551.67,CAD,0.811,7746.4,USD,2024-04-12,2024-07-19,4363
9FC2B0FF,FR SAS,Intercompany,Finance,53528.67,JPY,0.0067,358.64,USD,2024-09-11,2024-11-08,4072
C7688E0E,US Inc,Intercompany,Sales,45862.83,CHF,1.0712,49128.26,USD,2025-03-20,2025-04-05,4196
5494CAAD,US Inc,Intercompany,Logistics,4796.4,GBP,1.3321,6389.28,USD,2025-01-02,2025-02-02,4169
4EA0B951,AU Pty,AR,R&D,11831.05,CHF,1.0537,12466.38,USD,2024-11-14,2024-12-13,4664
CCA14879,DE GmbH,Intercompany,HR,19466.88,CNY,0.1458,2838.27,USD,2024-03-25,2024-05-22,4838
F6289725,CA Corp,Intercompany,HR,13387.45,CNY,0.1538,2058.99,USD,2024-05-29,2024-07-07,4362
